GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bank,com.paclt.Bank.app.controller,ErrorController,0,20,0,4,0,7,0,4,0,2
Bank,com.paclt.Bank.app.domain,ConfirmationToken,0,53,0,0,0,21,0,11,0,11
Bank,com.paclt.Bank.app.domain,ExchangeRate,0,33,0,0,0,12,0,6,0,6
Bank,com.paclt.Bank.app.domain,User,12,117,0,2,4,28,0,11,0,10
Bank,com.paclt.Bank.app.domain,Account,6,21,0,0,1,6,1,3,1,3
Bank,com.paclt.Bank.app.repository,AccountRepository,4,47,0,2,2,11,2,2,2,1
Bank,com.paclt.Bank.app.repository,UserRepository,22,143,0,12,5,29,2,9,2,3
Bank,com.paclt.Bank.app.repository,ConfirmationTokenRepository,6,136,0,8,3,29,0,7,0,3
Bank,com.paclt.Bank.app.repository,ExchangeRateRepository,22,154,1,13,9,29,1,11,0,5
Bank,com.paclt.Bank.app.service,UserService,103,542,9,55,21,132,9,30,0,7
Bank,com.paclt.Bank.app.service,CustomUserDetailsServiceImpl,81,50,7,3,22,14,5,4,0,4
Bank,com.paclt.Bank.app.service,EmailService,40,10,0,0,12,4,1,2,1,2
Bank,com.paclt.Bank.app.service,CustomUserDetailsService,14,10,0,0,6,4,6,2,6,2
Bank,com.paclt.Bank.app.service,ConfirmationTokenService,36,213,7,11,19,46,8,7,1,5
Bank,com.paclt.Bank.app.service,ExchangeRateService,20,83,2,2,7,20,3,3,1,3
Bank,com.paclt.Bank.app.security,SecurityConfig,0,86,0,0,0,33,0,6,0,6
Bank,com.paclt.Bank.app.security,PasswordEncoder,17,0,0,0,6,0,2,0,2,0
Bank,com.paclt.Bank,BankApplication,5,3,0,0,2,1,1,1,1,1
